CONFIGURATION_1-PLANE_2-OBJECT_1-LIGHT_PROFILE_1-center_y-g WEIGHT
-0.5 0.0
-0.49 0.001
-0.48 0.003
-0.47 0.009
-0.46 0.023
-0.45 0.051
-0.44 0.098
-0.43 0.167
-0.42 0.258
-0.41 0.365
-0.4 0.483
-0.39 0.605
-0.38 0.722
-0.37 0.831
-0.36 0.927
-0.35 1.01
-0.34 1.079
-0.33 1.135
-0.32 1.18
-0.31 1.215
-0.3 1.242
-0.29 1.262
-0.28 1.277
-0.27 1.288
-0.26 1.296
-0.25 1.302
-0.24 1.306
-0.23 1.309
-0.22 1.311
-0.21 1.312
-0.2 1.313
-0.19 1.313
-0.18 1.313
-0.17 1.314
-0.16 1.314
-0.15 1.314
-0.14 1.314
-0.13 1.314
-0.12 1.314
-0.11 1.314
-0.1 1.314
-0.09 1.314
-0.08 1.314
-0.07 1.314
-0.06 1.314
-0.05 1.314
-0.04 1.314
-0.03 1.314
-0.02 1.314
-0.01 1.314
0.0 1.314
0.01 1.314
0.02 1.314
0.03 1.314
0.04 1.314
0.05 1.314
0.06 1.314
0.07 1.314
0.08 1.314
0.09 1.314
0.1 1.314
0.11 1.314
0.12 1.314
0.13 1.314
0.14 1.314
0.15 1.314
0.16 1.314
0.17 1.314
0.18 1.313
0.19 1.313
0.2 1.313
0.21 1.312
0.22 1.311
0.23 1.309
0.24 1.306
0.25 1.302
0.26 1.296
0.27 1.288
0.28 1.277
0.29 1.262
0.3 1.242
0.31 1.215
0.32 1.18
0.33 1.135
0.34 1.079
0.35 1.01
0.36 0.927
0.37 0.831
0.38 0.722
0.39 0.605
0.4 0.483
0.41 0.365
0.42 0.258
0.43 0.167
0.44 0.098
0.45 0.051
0.46 0.023
0.47 0.009
0.48 0.003
0.49 0.001
0.5 0.0
